ID,DIA,ID_CAJA,ACUMULADO_VENTAS,ACUMULADO_ENTRADAS,ACUMULADO_SALIDAS,ACUMULADO_GANANCIA,VENTAS_EFECTIVO,VENTAS_TARJETA,VENTAS_VALES,VENTAS_CREDITO,ABONOS_EFECTIVO,DEVOLUCIONES_VENTAS_EFECTIVO,DEVOLUCIONES_VENTAS_CREDITO,DEVOLUCIONES_ABONOS_EFECTIVO,NUMERO_VENTAS,DEVOLUCIONES_VENTAS_VALES,ABONOS_TARJETA,ABONOS_VALES,COMISIONES_TARJETA,DEVOLUCIONES_VENTAS_TARJETA
9,2024-09-14,1,1564.0,0.0,0.0,244.44,1564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0
22,2024-09-27,1,2089.0,0.0,0.0,475.25,2089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0
24,2024-09-29,1,1582.0,0.0,0.0,368.9,1582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0
26,2024-10-01,1,3283.0,0.0,640.0,734.76,3283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0,0.0
10,2024-09-15,1,2428.0,0.0,18.0,442.73,2428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0
23,2024-09-28,1,1711.0,0.0,0.0,347.998,1711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0
27,2024-10-02,1,1505.0,0.0,0.0,391.346,1505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0
63,2024-11-07,1,1682.0,0.0,0.0,372.76,1682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0
74,2024-11-18,1,1355.0,0.0,0.0,344.4712,1355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0
99,2024-12-13,1,3757.0,0.0,0.0,633.3481,3776.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,39,0.0,0.0,0.0,0.0,0.0
100,2024-12-14,1,6067.0,0.0,0.0,1000.8103,6067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,0.0,0.0
101,2024-12-15,1,3060.0,0.0,0.0,658.4568,3060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,0.0
102,2024-12-16,1,1470.0,0.0,0.0,383.23,1470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0
106,2024-12-20,1,1537.0,0.0,0.0,341.4675,1597.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0
87,2024-12-01,1,4351.0,0.0,0.0,867.7112,4351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0
