ID,ID_DEPARTAMENTO,ACUMULADO_VENTAS,ID_OPERACION,ACUMULADO_GANANCIAS
1,1,960.0,9,160.0
3,8,430.0,9,30.16
4,6,14.0,9,6.0
2,4,60.0,9,30.0
5,7,100.0,9,18.28
6,9,760.0,10,140.71
7,10,55.0,10,15.81
8,6,63.0,10,27.0
79,9,415.0,21,70.18
9,7,1320.0,10,219.05
10,8,230.0,10,40.16
34,8,110.0,14,19.2
20,8,22.0,12,3.84
35,5,321.0,14,69.34
21,11,80.0,12,65.0
36,11,40.0,14,24.88
59,5,27.0,17,7.0
22,10,20.0,12,6.0
37,7,366.0,14,72.79
83,10,20.0,21,6.0
84,10,98.0,22,28.78
80,7,473.0,21,61.978
81,12,8.0,21,2.99
85,9,543.0,22,89.43
86,7,708.0,22,137.9
23,12,3.0,12,1.75
87,6,372.0,22,129.85
98,6,205.0,24,103.2
97,8,20.0,23,5.0
11,9,173.0,11,31.76
12,7,1200.0,11,136.48
24,6,69.0,13,29.95
92,6,252.0,23,88.0
25,11,8.0,13,3.96
13,5,52.0,11,16.0
26,7,1390.0,13,205.92
14,6,29.0,11,14.65
88,11,59.0,22,25.39
27,9,159.0,13,24.0
82,11,18.0,21,4.32
28,12,35.0,13,7.76
29,10,18.0,13,4.0
15,10,20.0,11,6.0
16,8,20.0,11,5.0
93,7,1138.0,23,194.648
17,7,730.0,12,146.99
18,6,62.0,12,32.6
99,9,315.0,24,53.01
94,9,251.0,23,45.26
95,12,5.0,23,2.28
106,8,85.0,25,11.02
38,6,248.0,15,116.25
39,9,446.0,15,74.93
40,10,121.0,15,38.4
19,9,384.0,12,61.59
30,6,339.0,14,132.6
96,10,45.0,23,12.81
41,11,40.0,15,29.96
31,10,20.0,14,6.0
32,9,211.0,14,35.59
42,12,18.0,15,10.5
112,11,22.0,25,6.83
33,12,17.0,14,9.46
43,7,910.0,15,145.41
113,9,1352.0,26,230.63
89,12,18.0,22,6.34
100,11,68.0,24,30.52
107,7,576.0,25,66.046
108,10,55.0,25,17.59
101,7,681.0,24,114.37
44,8,250.0,15,45.16
114,7,1140.0,26,191.66
90,8,266.0,22,48.56
115,10,160.0,26,42.66
116,6,593.0,26,253.45
109,14,30.0,25,24.0
91,5,25.0,22,9.0
117,12,19.0,26,11.04
60,8,125.0,17,35.0
102,10,20.0,24,6.0
110,9,413.0,25,72.26
103,12,17.0,24,3.72
118,11,19.0,26,5.32
111,12,31.0,25,13.6
119,10,101.0,27,26.59
45,5,25.0,15,9.0
120,5,79.0,27,23.0
121,9,263.0,27,49.1
122,6,240.0,27,121.5
104,8,276.0,24,58.08
185,6,294.0,35,116.25
123,12,28.0,27,9.68
61,10,30.0,18,9.0
62,7,283.0,18,61.15
63,6,241.0,18,118.25
186,10,100.0,35,25.29
187,9,280.0,35,46.09
392,6,214.0,62,110.4
46,6,176.0,16,91.2
188,12,23.0,35,10.68
64,9,128.0,18,21.17
47,9,332.0,16,57.52
48,7,975.0,16,221.54
481,1,5.0,73,5.0
189,5,57.0,35,13.0
105,6,297.0,25,144.45
49,11,149.0,16,54.5
190,7,1275.0,35,231.66
50,5,85.0,16,21.0
393,10,63.0,62,13.02
482,14,10.0,73,5.0
51,8,480.0,16,85.32
124,7,711.0,27,118.316
553,7,848.0,82,146.0
65,12,6.0,18,3.68
191,11,17.0,35,4.11
125,11,51.0,27,31.32
394,7,1060.0,62,130.68
483,6,362.0,74,123.35
126,8,22.0,27,3.84
66,6,183.0,19,80.0
484,10,136.0,74,38.19
67,10,66.0,19,17.0
127,14,10.0,27,8.0
485,12,52.0,74,16.88
52,10,40.0,16,12.78
486,9,431.0,74,92.4412
68,9,256.0,19,44.26
69,7,377.0,19,53.99
554,11,52.0,82,13.95
395,12,4.0,62,2.1
396,5,81.0,62,21.0
70,11,34.0,19,17.32
487,7,277.0,74,39.61
584,6,483.0,87,210.4
397,9,377.0,62,64.43
668,11,41.0,98,12.15
53,6,251.0,17,100.5
54,7,3779.0,17,534.98
55,10,153.0,17,46.37
56,11,158.0,17,84.63
57,9,159.0,17,25.92
128,6,328.0,28,145.6
669,8,132.0,98,23.04
58,12,67.0,17,30.04
129,14,20.0,28,5.5
130,10,56.0,28,15.44
585,12,51.0,87,17.62
71,9,180.0,20,34.68
72,7,628.0,20,104.578
73,6,372.0,20,147.9
131,7,660.0,28,113.52
488,11,54.0,74,11.0
74,8,505.0,20,119.02
75,11,16.0,20,13.0
